"adap-org/9911004","Adam Ponzi","A.Ponzi and Y.Aizawa","Criticality and Punctuated Equilibrium in a Spin System Model of a
  Financial Market","15 pages, 7 figures, to appear in Chaos, Solitons and Fractals,
  rec.date 1999.3",,"10.1016/S0960-0779(99)00048-X",,"adap-org nlin.AO",,"  We describe a financial market model which shows a non-equilibrium phase
transition. Near the transition punctuated equilibrium behaviour is seen, with
avalanches occuring on all scales. This scaling is described by an exponent
very near 1. This system shows intermittent time development with bursts of
global synchronization reminiscent of a market rollercoaster.
","[{""version"":""v1"",""created"":""Fri, 19 Nov 1999 12:07:04 GMT""}]","2015-06-24"
"astro-ph/9911359","Kate Scholberg","Kate Scholberg","SNEWS: The SuperNova Early Warning System","7 pages, for the Proceedings of the 3rd Amaldi Conference on
  Gravitational Waves",,"10.1063/1.1291879",,"astro-ph",,"  World-wide, several detectors currently running or nearing completion are
sensitive to a prompt core collapse supernova neutrino signal in the Galaxy.
The SNEWS system will be able to provide a robust early warning of a
supernova's occurrence to the astronomical community using a coincidence of
neutrino signals around the world. This talk describes the nature of the
neutrino signal, detection techniques and the motivation for a coincidence
alert. It describes the implementation of SNEWS, its current status, and its
future, which can include gravitational wave detectors.
","[{""version"":""v1"",""created"":""Thu, 18 Nov 1999 18:21:34 GMT""}]","2009-10-31"
"astro-ph/9911360","Rasio","Frederic A. Rasio (MIT)","Particle Methods in Astrophysical Fluid Dynamics","13 pages, to appear in proceedings of the 5th International
  Conference on Computational Physics (ICCP5), held in Kanazawa, Japan, Oct
  11-13, 1999 (special issue of Progress of Theoretical Physics)",,"10.1143/PTPS.138.609",,"astro-ph",,"  Particle methods play an important role in the study of a wide variety of
astrophysical fluid dynamics problems. The different methods currently in use
are all variants of the so-called Smoothed Particle Hydrodynamics (SPH) scheme
introduced by Lucy and Gingold & Monaghan more than twenty years ago. This
paper presents a complete introduction to SPH in its modern form, and discusses
some of the main numerical properties of the scheme. In particular, the
convergence properties of SPH are studied, as a function of the number of
particles N and the number of interacting neighbors N_n, using a simple
analysis based on sound waves. It is shown that consistency of SPH (i.e.,
convergence towards a physical solution) requires both N -> infinity and N_n ->
infinity, with the smoothing length h -> 0, i.e., N_n/N -> 0.
","[{""version"":""v1"",""created"":""Thu, 18 Nov 1999 18:27:55 GMT""}]","2009-10-31"
"astro-ph/9911361","Henry A. Kobulnicky","Chip Kobulnicky & Karl Gebhardt (UC Santa Cruz)","Obtaining Galaxy Masses Using Stellar Absorption and [O II]
  Emission-Line Diagnostics in Late-Type Galaxies","26 pages including figures plus three tables. Uses emulateapj.sty.
  Figures look best printed in color. Accepted for publication in March 2000
  Astronomical Journal. Full paper and Postscript figures also available at
  http://www.astro.wisc.edu/~chip/Research/OII_abs.html",,,,"astro-ph",,"  The [O II] lambda3727 emission lines and absorption features from stellar
Balmer and Ca H&K lines are the most accessible kinematic diagnotics in
galaxies at z~1. We investigate the kinematics of 22 local late-type galaxies
using these spectral features and we compare the results to 21-cm neutral
hydrogen spectra in order to assess the utility of each diagnostic for
measuring galaxy masses. In order to simulate data at high redshift where only
1-dimensional velocity profiles are normally available, we study spatially
integrated as well as spatially-resolved spectra. Although the studied galaxies
span a wide range of morphological types, inclinations, and star formation
rates, we find that the gaseous and stellar kinematic tracers yield comparable
kinematic line widths and systemic velocities. The [O II] and H I line widths
correlate most strongly, showing an intrinsic dispersion of ~20 km/s, or ~10%
for a typical galaxy with a kinematic width of 200 km/s. In a few extreme
cases, the [O II] line widths underestimate the neutral hydrogen width by 50%.
Reliable velocity widths can also be obtained from the stellar Balmer and Ca
H&K absorption lines, even for some of the very late-type galaxies which have
strong emission lines. The intrinsic dispersion is <10% between the stellar
absorption and H I line widths. We provide a prescription for using these
strong stellar absorption and [O II] emission features to measure the
kinematics, and thus masses, of galaxies in the distant universe.
","[{""version"":""v1"",""created"":""Thu, 18 Nov 1999 19:37:49 GMT""}]","2007-05-23"
"astro-ph/9911362","Yuri A. Fadeyev","Yu. A. Fadeyev (Institute for Astronomy, Moscow, Russia), D. Gillet
  (Observatoire de Haute-Provence, France)","The structure of radiative shock waves. II. The multilevel hydrogen atom","17 pages, 14 figures, LaTeX, to be published in AA",,,,"astro-ph",,"  Models of steady-state plane-parallel shock waves propagating through the
unperturbed hydrogen gas of temperature T=6000K and density rho = 1e-10 gm/cm^3
are computed for upstream velocities from 15 km/s to 70 km/s. The shock wave
structure is considered in terms of the self-consistent solution of the
radiation transfer, fluid dynamics and rate equations for 2 <= L <= 4 atomic
bound levels with a continuum. The radiative flux Frad emergent from the shock
wave was found to be independent of the lower limit nu_L of the frequency range
provided that nu_L < nu_2, where nu_2 is the Balmer continuum head frequency,
At the same time the decrease of nu_L is accompanied by decrease of the Lyman
continuum flux and leads to smaller heating and weaker ionization of the
hydrogen gas in the radiative precursor. For all models the size of the
radiative precursor is of 10^4 cm and corresponds to several mean free paths of
photons at the frequency of the Lyman continuum edge nu_1. The compression
ratio at the discontinuous jump gradually increases with increasing upstream
velocity U_1, reaches the maximum of \rho^+/\rho^- = 3.62 at U_1 = 55 km/s and
slowly decreases for larger U_1 due to the strong rize of the preshock gas
temperature. The radiative flux from the shock wave was determined as a
function of the upstream velocity U_1 and its ratio to the total energy flux in
the shock wave C_2 was found to range within 0.18 < Frad/C_2 < 0.92 for 15 km/s
<= U_1 <= 65 km/s. Thus, at upstream velocities U_1 > 60 km/s the shock wave
losses more than 90% of its total energy due to radiation. For all shock wave
models the role of collisional processes in both bound-bound and bound-free
atomic transitions was found to be negligible in comparison with corresponding
radiative processes.
","[{""version"":""v1"",""created"":""Thu, 18 Nov 1999 20:36:13 GMT""}]","2007-05-23"
"astro-ph/9911363","Robert H. Cornett","Sara R. Heap, Don J. Lindler, Thierry M. Lanz, Robert H. Cornett, Ivan
  Hubeny, Stephen P. Maran, and Bruce Woodgate","STIS Coronagraphic Observations of Beta Pictoris","12 pages, Latex",,"10.1086/309188",,"astro-ph",,"  We present new coronagraphic images of Beta Pictoris obtained with the Space
Telescope Imaging Spectrograph (STIS) in September 1997. The high-resolution
images (0.1"") clearly detect the circumstellar disk as close as 0.75"" to the
star, corresponding to a projected radius of 15 AU. The images define the warp
in the disk with greater precision and at closer radii to Beta Pic than do
previous observations. They show that the warp can be modelled by the
projection of two components: the main disk, and a fainter component, which is
inclined to the main component by 4-5 degrees, and which extends only as far as
~4"" from the star. We interpret the main component as arising primarily in the
outer disk and the tilted component as defining the inner region of the disk.
  The observed properties of the warped inner disk are inconsistent with a
driving force from stellar radiation. However, warping induced by the
gravitational potential of one or more planets is consistent with the data.
Using models of planet-warped disks constructed by Larwood and Papaloizou
(1997), we derive possible masses of the perturbing object.
","[{""version"":""v1"",""created"":""Thu, 18 Nov 1999 20:37:09 GMT""}]","2021-06-23"
"astro-ph/9911364","Nicole","Vahe Petrosian (Astronomy Program and Physics Department, Stanford
  University)","Plasma Turbulence and Stochastic Acceleration in Solar Flares","11 pages with 4 figures and one table, Cracow Turbulence Workshop
  http://www.astronomy.stanford.edu",,,,"astro-ph",,"  Observational aspects of solar flares relevant to the acceleration process of
electrons and protons are reviewed and it is shown that most of these
observations can be explained by the interaction with flare plasma of a power
law energy distribution of electrons (and protons) that are injected at the top
of a flaring loop, in the so-called thick target model. Some new observations
that do not agree with this model are described and it is shown that these can
be explained most naturally if most of the energy released by the reconnection
process goes first into the generation of plasma turbulence, which accelerates,
scatters and traps the ambient electrons near the top of the loop
stochastically. The resultant bremsstrahlung photon spectral and spatial
distributions agree with the new observations. This model is also justified by
some theoretical arguments. Results from numerical evaluation of the spectra of
the accelerated electrons and their bremsstrahlung emission are compared with
observations and shown how one can constrain the model parameters describing
the flare plasma and the spectrum and the energy density of the turbulence.
","[{""version"":""v1"",""created"":""Thu, 18 Nov 1999 20:44:19 GMT""}]","2007-05-23"
"astro-ph/9911365","Eric Tittley","Eric R. Tittley and H. M. P. Couchman","Hierarchical clustering, the universal density profile, and the
  mass-temperature scaling law of galaxy clusters","44 pages including 11 tables and 9 figures. Submitted to MNRAS.
  Postscript file also available at
  ftp://www.astro.uwo.ca/pub/etittley/Hierarchical.ps.gz",,,,"astro-ph",,"  The significance of hierarchical clustering on the density profile and
mass-temperature scaling relation for galaxy clusters is examined using
hydrodynamic N-body simulations. Clusters formed hierarchically are compared
with clusters formed with the initial density fluctuations on sub-cluster
scales removed via smoothing.
  The universal profile, as described by Navarro, Frenk, and White, is not a
by-product of hierarchical clustering. It is found to fit the mean profiles of
clusters formed both hierarchically and otherwise. The Hernquist profile is
also found to fit the data well. The characteristic radius, r_s, moves outward
from 0.1 R_200 to 0.2 R_200 when the initial substructure is eliminated.
Interior to r_s, rho_DM is proportional to r^-1.8, regardless of initial
smoothing. Exterior to this radius, the profile is marginally shallower in the
non-hierarchical case, with rho_DM proportional to r^-2.4 compared with rho_DM
proportional to r^-2.7.
  The mass-temperature scaling relation maintains the form T proportional to
M^2/3, regardless of cluster formation method. The normalisation varies at the
20% level, which is at the level of the intrinsic scatter, with the
non-hierarchical simulations producing the cooler clusters.
","[{""version"":""v1"",""created"":""Thu, 18 Nov 1999 22:23:13 GMT""}]","2009-09-25"
"astro-ph/9911366","Barney Rickett","Hendrik Lambert and Barney Rickett","Radio Scintillation due to Discontinuities in the Interstellar Plasma
  Density","Accpeted for ApJ vol 531, March 2000",,"10.1086/308505",,"astro-ph",,"  We develop the theory of interstellar scintillation as caused by an irregular
plasma having a power-law spatial density spectrum with a spectral exponent of
4 corresponding to a medium with abrupt changes in its density. An ``outer
scale'' is included in the model representing the typical scale over which the
density of the medium remains uniform. Such a spectrum could be used to model
plasma shock fronts in supernova remnants or other plasma discontinuities. We
investigate and develop equations for the decorrelation bandwidth of
diffractive scintillations and the refractive scintillation index and compare
our results with pulsar measurements. We consider both a medium concentrated in
a thin layer and an extended irregular medium. We conclude that the
discontinuity model gives satisfactory agreement for many diffractive
measurements, in particular the VLBI meaurements of the structure function
exponent between 5/3 and 2. However, it gives less satisfactory agreement for
the refractive scintillation index than does the Kolmogorov turbulence
spectrum. The comparison suggests that the medium consists of a pervasive
background distribution of turbulence embedded with randomly placed discrete
plasma structures such as shocks or HII regions. This can be modeled by a
composite spectrum following the Kolmogorov form at high wavenumbers and
steepening at lower wavenumbers corresponding to the typical (inverse) size of
the discrete structures. Such a model can also explain the extreme scattering
events. However, lines of sight through the enhanced scattering prevalent at
low galactic latitudes are accurately described by the Kolmogorov spectrum in
an extended medium and do not appear to have a similar low-wavenumber
steepening.
","[{""version"":""v1"",""created"":""Thu, 18 Nov 1999 22:28:00 GMT""}]","2009-10-31"
"astro-ph/9911367","Mark L. Houdashelt","Mark L. Houdashelt (1, 2), Roger A. Bell (1), Allen V. Sweigart (3)
  ((1) University of Maryland, (2) Johns Hopkins University, (3) NASA Goddard
  Space Flight Center)","Improved Color-Temperature Relations and Bolometric Corrections for Cool
  Stars","To appear in the March 2000 issue of the Astronomical Journal. 72
  pages including 16 embedded postscript figures (one page each) and 6 embedded
  postscript tables (18 pages total)","Astron.J.119:1448-1469,2000","10.1086/301243",,"astro-ph",,"  We present new grids of colors and bolometric corrections for F-K stars
having 4000 K < Teff < 6500 K, 0.0 < log g < 4.5 and -3.0 < [Fe/H] < 0.0. A
companion paper extends these calculations into the M giant regime. Colors are
tabulated for Johnson U-V and B-V; Cousins V-R and V-I; Johnson-Glass V-K, J-K
and H-K; and CIT/CTIO V-K, J-K, H-K and CO. We have developed these
color-temperature (CT) relations by convolving synthetic spectra with
photometric filter-transmission-profiles. The synthetic spectra have been
computed with the SSG spectral synthesis code using MARCS stellar atmosphere
models as input. Both of these codes have been improved substantially,
especially at low temperatures, through the incorporation of new opacity data.
The resulting synthetic colors have been put onto the observational systems by
applying color calibrations derived from models and photometry of field stars
which have Teffs determined by the infrared-flux method. The color calibrations
have zero points and slopes which change most of the original synthetic colors
by less than 0.02 mag and 5%, respectively. The adopted Teff scale (Bell &
Gustafsson 1989) is confirmed by the extraordinary agreement between the
predicted and observed angular diameters of the field stars. We have also
derived empirical CT relations from the field-star photometry. Except for the
coolest dwarfs (Teff < 5000 K), our calibrated, solar-metallicity model colors
are found to match these and other empirical relations quite well. Our
calibrated, 4 Gyr, solar-metallicity isochrone also provides a good match to
color-magnitude diagrams of M67. We regard this as evidence that our calibrated
colors can be applied to many astrophysical problems, including modelling the
integrated light of galaxies. (abridged)
","[{""version"":""v1"",""created"":""Thu, 18 Nov 1999 22:47:22 GMT""}]","2009-10-12"
"astro-ph/9911368","Barney Rickett","Barney Rickett, Bill Coles and Jussi Markkanen","Interstellar Scintillation od Pulsar B0809+74","Accepted for ApJ, 20 pages",,"10.1086/308637",,"astro-ph",,"  Weak interstellar scintillations of pulsar B0809+74 were observed at two
epochs using a 30m EISCAT antenna at 933 MHz. These have been used to constrain
the spectrum, the distribution and the transverse velocity of the scattering
plasma with respect to the local standard of rest (LSR). The Kolmogorov power
law is a satisfactory model for the electron density spectrum at scales between
20 megameters and 1 gigameter. We compare the observations with model
calculations from weak scintillation theory and the known transverse velocities
of the pulsar and the Earth. The simplest model is that the scattering is
uniformly distributed along the 310 pc line of sight (l=140 deg, b=32 deg) and
is stationary in the LSR. With the scattering measure as the only free
parameter, this model fits the data within the errors and a range of about
+/-10 km/s in velocity is also allowed.
  The integrated level of turbulence is low, being comparable to that found
toward PSR B0950+08, and suggests a region of low local turbulence over as much
as 90 deg. in longitude including the galactic anti-center. If, on the other
hand, the scattering occurs in a compact region, the observed time scales
require a specific velocity-distance relation. In particular, enhanced
scattering in a shell at the edge of the local bubble, proposed by Bhat et al.
(1998), near 72 pc toward the pulsar, must be moving at about ~ 17 km/s;
however, the low scattering measure argues against a shell of enhanced
scattering in this direction. The analysis also excludes scattering in the
termination shock of the solar wind or in a nebula associated with the pulsar.
","[{""version"":""v1"",""created"":""Thu, 18 Nov 1999 22:50:47 GMT""}]","2015-06-24"
