"adap-org/9911003","Liane Gabora","L. Gabora","Amplifying Phenomenal Information: Toward a Fundamental Theory of
  Consciousness","26 pages, 12 figures","Journal of Consciousness Studies 9(8):3-29 (2002)",,,"adap-org nlin.AO",,"  Fundamental approaches bypass the problem of getting consciousness from
non-conscious components by positing that consciousness is a universal
primitive. For example, the double aspect theory of information holds that
information has a phenomenal aspect. How then do you get from phenomenal
information to human consciousness? This paper proposes that an entity is
conscious to the extent it amplifies information, first by trapping and
integrating it through closure, and second by maintaining dynamics at the edge
of chaos through simultaneous processes of divergence and convergence. The
origin of life through autocatalytic closure, and the origin of an
interconnected worldview through conceptual closure, induced phase transitions
in the degree to which information, and thus consciousness, is locally
amplified. Divergence and convergence of cognitive information may involve
phenomena observed in light e.g. focusing, interference, and resonance. By
making information flow inward-biased, closure shields us from external
consciousness; thus the paucity of consciousness may be an illusion.
","[{""version"":""v1"",""created"":""Tue, 9 Nov 1999 23:59:19 GMT""},{""version"":""v2"",""created"":""Wed, 30 Oct 2002 12:47:05 GMT""}]","2007-05-23"
"astro-ph/9911144","Zhen Cao","T.Abu-Zayyad, K.Belov, D.J.Bird, J.Boyer, Z.Cao, M.Catanese, G.F.Chen,
  R.W.Clay, C.E.Covault, J.W.Cronin, H.Y.Dai, B.R.Dawson, J.W.Elbert, B.E.Fick,
  L.F.Fortson, J.W.Fowler, K.G.Gibbs, M.A.K.Glasmacher, K.D.Green, Y.Ho,
  A.Huang, C.C.Jui, M.J.Kidd, D.B.Kieda, B.C.Knapp, S.Ko, C.G.Larsen, W.Lee,
  E.C.Loh, E.J.Mannel, J.Matthews, J.N.Matthews, B.J.Newport, D.F.Nitz,
  R.A.Ong, K.M.Simpson, J.D.Smith, D.Sinclair, P.Sokolsky, P.Sommers, C.Song,
  J.K.K.Tang, S.B.Thomas, J.C.van der Velde, L.R.Wiencke, C.R.Wilkinson,
  S.Yoshida, X.Z.Zhang (HiRes-MIA Collaboration)","A Multi-Component Measurement of the Cosmic Ray Composition Between
  10^{17} eV and 10^{18} eV","14 pages including 3 figures in revtex epsf style, submited to PRL","Phys.Rev.Lett.84:4276-4279,2000","10.1103/PhysRevLett.84.4276",,"astro-ph",,"  The average mass composition of cosmic rays with primary energies between
$10^{17}$eV and $10^{18}$eV has been studied using a hybrid detector consisting
of the High Resolution Fly's Eye (HiRes) prototype and the MIA muon array.
Measurements have been made of the change in the depth of shower maximum,
$X_{max}$, and in the change in the muon density at a fixed core location,
$\rho_\mu(600m)$, as a function of energy. The composition has also been
evaluated in terms of the combination of $X_{max}$ and $\rho_\mu(600m)$. The
results show that the composition is changing from a heavy to lighter mix as
the energy increases.
","[{""version"":""v1"",""created"":""Tue, 9 Nov 1999 16:54:16 GMT""}]","2008-11-26"
"astro-ph/9911145","Campana","Sergio Campana (1), Gianluca Israel (2), Luigi Stella (2) ((1)
  Osservatorio Astronomico di Brera, (2) Osservatorio Astronomico di
  MontePorzio)","Evidence for an ~80 day periodicity in the X-ray transient pulsar XTE
  J1946+274","A&A Letter in press (4 pages + 2 figures; requires A&A and psfig
  macros)",,,,"astro-ph",,"  We report evidence for an ~ 80 d periodicity in the X-ray flux of the hard
transient pulsar XTE J1946+274. The 1.3-12 keV light curve obtained with the
RossiXTE All Sky Monitor shows five regularly spaced flares over a ~ 1 year
baseline starting from the outburst onset in Sept. 1998. The first and
strongest flare is somewhat longer than the subsequent four flares, which recur
in a fairly periodic fashion. This suggests that the profile of the first flare
is dominated by the time variability of the Be star ejection episode, while the
following four flares are primarily caused by the neutron star motion along an
eccentric orbit.
","[{""version"":""v1"",""created"":""Tue, 9 Nov 1999 16:22:09 GMT""}]","2007-05-23"
"astro-ph/9911146","Johan Peter Uldall Fynbo","J.U.Fynbo (IFA, Aarhus University), B. Thomsen (IFA, Aarhus
  University), P. Moller (European Southern Observatory, Germany)","Ly-alpha Emission from a Lyman Limit Absorber at z=3.036","8 pages, 7 figures. accepted for publication in A&A","Astron.Astrophys.353:457-464,2000",,,"astro-ph",,"  Deep, 17.8 hours, narrow band imaging obtained at the ESO 3.5m New Technology
Telescope has revealed extended (galaxy sized) Ly-alpha emission from a high
redshift Lyman limit absorber. The absorber is a z(abs) approx. z(em) Lyman
limit absorber seen in the spectrum of Q1205-30 at z(em)=3.036. The Ly-alpha
luminosity of the emission line object is 12-14 x 10e41 h^-2 erg/s for
Omega(matter)=1. The size and morphology of the Ly-alpha emitter are both
near--identical to those of a previously reported emission line object
associated with a DLA at z=1.934 (Fynbo et al. 1999a), suggesting a close
connection between Lyman limit absorbers and DLAs.
  We also detect six candidate Ly-alpha emitting galaxies in the surrounding
field at projected distances of 156-444 h^-1 kpc with Ly-alpha luminosities
ranging from 3.3 to 9.5 x 10e41 h^-2 erg/s for Omega(matter)=1. Assuming no
obscuration of Ly-alpha photons by dust this corresponds to star formation
rates in the range 0.3-0.9 h^-2 M(sun)/yr. Comparing this to the the Lyman
break galaxies in current ground based samples only make up the very bright end
of the high redshift galaxy luminosity function. A significant, and possibly
dominating, population of high redshift galaxies are not found in the ground
based Lyman break surveys.
","[{""version"":""v1"",""created"":""Tue, 9 Nov 1999 16:42:44 GMT""}]","2011-05-23"
"astro-ph/9911147","Riccardo Scarpa","Riccardo Scarpa, C. Megan Urry, Renato Falomo, Joseph E. Pesce, and
  Aldo Treves","The HST Survey of BL Lacertae Objects. I. Surface Brightness Profiles,
  Magnitudes, and Radii of Host Galaxies","Accepted for publication on ApJS. 43 pages. 10 figures. Figure 1 can
  also be downloaded from http://icarus.stsci.edu/~scarpa/tmp/hst_figure1.tar",,"10.1086/308618",,"astro-ph",,"  We report on a large HST imaging survey of BL Lac objects, at spatial
resolution ~10 times better than previous ground-based surveys. We focus on
data reduction and analysis, describing the procedures used to model the host
galaxy surface brightness radial profiles. A total of 69 host galaxies were
resolved out of 110 objects observed, including almost all sources at z < 0.5.
We classify them morphologically by fitting with either an exponential disk or
a de~Vaucouleurs profile; when one fit is preferred over the other, in 58 of 69
cases, it is invariably the elliptical morphology. This is a very strong result
given the large number of BL Lac objects, the unprecedented spatial resolution,
and the homogeneity of the data set. With the present reclassification of the
host galaxy of 1418+546 as an elliptical, there remain no undisputed examples
of a disk galaxy hosting a BL Lac nucleus. This implies that, at 99%
confidence, fewer than 7% of BL Lacs can be in disk galaxies. The apparent
magnitude of the host galaxies varies with distance as expected if the absolute
magnitudes are approximately the same, with a spread of +-1 mag, out to
redshift z < 0.5. At larger redshifts, only 6 of 23 BL Lacs are resolved so the
present data do not constrain possible luminosity evolution of the host
galaxies. The collective Hubble diagram for BL Lac host galaxies and radio
galaxies strongly supports their unification.
","[{""version"":""v1"",""created"":""Tue, 9 Nov 1999 17:07:39 GMT""}]","2009-10-31"
"astro-ph/9911148","Brenda Matthews","Brenda C. Matthews and Christine D. Wilson (McMaster University)","Magnetic Fields in Star-Forming Molecular Clouds I. The First
  Polarimetry of OMC-3 in Orion A","9 pages plus 2 figures (1 colour); accepted for publication in the
  March 10, 2000 issue (vol. 531 #2) of The Astrophysical Journal",,"10.1086/308523",,"astro-ph",,"  The first polarimetric images of the OMC-3 region of the Orion A filamentary
molecular cloud are presented. Using the JCMT, we have detected polarized
thermal emission at 850 microns from dust along a 6' length of the dense
filament. The polarization pattern is highly ordered and is aligned with the
filament throughout most of the region. The plane-of-sky magnetic field
direction is perpendicular to the measured polarization. The mean percentage
polarization is 4.2% with a 1 sigma dispersion of 1%. This region is part of
the integral-shaped filament, and active star formation is ongoing along its
length. The protostellar outflow directions do not appear to be consistently
correlated with the direction of the plane-of-sky field or the filament
structure itself. Depolarization toward the filament center, previously
detected in many other star-forming cores and protostars, is also evident in
our data. (abstract abridged)
","[{""version"":""v1"",""created"":""Tue, 9 Nov 1999 18:01:59 GMT""}]","2009-10-31"
"astro-ph/9911149","Geza Gyuk","Evalyn I. Gates (Adler Planetarium, U. of Chicago) and Geza Gyuk
  (UCSD)","A New (Old) Component of the Galaxy as the Origin of the Observed LMC
  Microlensing Events","7 pages, 1 figure",,,,"astro-ph",,"  We suggest a new component of the Milky Way galaxy that can account for both
the optical depth and the event durations obtained by the MACHO microlensing
survey toward the Large Magellanic Cloud. This component is consistent with
recent evidence for a significant population of faint white dwarf stars,
detected in a proper motion study of the Hubble Deep Field, which cannot be
accounted for by stars in the disk or spheroid. This new component consists of
(mostly) old white dwarf stars distributed in a highly extended (very thick)
disk configuration. It extends beyond the traditional thin and thick disks, but
well within the dark, roughly spherical CDM halo. The total mass in this
component is $\sim 7-9 \times 10^{10} M_\odot$. We argue that such a component
is reasonable, natural, consistent with a variety of observations, and many of
the problems associated with a significant halo population of white dwarfs are
ameliorated.
","[{""version"":""v1"",""created"":""Tue, 9 Nov 1999 18:47:13 GMT""}]","2007-05-23"
"astro-ph/9911150","Michael Catanese","Michael Catanese","Ground-Based Gamma-Ray Astronomy","8 pages, 5 figures, to appear in Proceedings of the Fifth Compton
  Symposium (Portsmouth, NH)",,"10.1063/1.1303276",,"astro-ph",,"  Ground-based gamma-ray astronomy has become an active astrophysical
discipline with four confirmed sources of TeV gamma rays, two plerionic
supernova remnants (SNRs) and two BL Lac objects (BL Lacs). An additional nine
objects (one plerion, three shell-type SNRs, one X-ray binary, and four BL
Lacs) have been detected but have not been confirmed by independent detections.
None of the galactic sources require the presence of hadronic cosmic rays, so
definitive evidence of their origin remains elusive. Mrk 421 and Mrk 501 are
weak EGRET sources but they exhibit extremely variable TeV emission with
spectra that extend beyond 10 TeV. They also exhibit correlations with lower
energy photons during multi-wavelength campaigns, providing tests of emission
models. Next generation telescopes like VERITAS hold the promise of moving this
field dramatically forward.
","[{""version"":""v1"",""created"":""Tue, 9 Nov 1999 19:20:21 GMT""}]","2009-10-31"
"astro-ph/9911151","Takahiko Matsubara","Takahiko Matsubara, Alexander S. Szalay, and Stephen D. Landy","Cosmological Parameters from the Eigenmode Analysis of the Las Campanas
  Redshift Survey","11 pages LaTeX, 2 figures, To appear in ApJ Letters",,"10.1086/312701","RESCEU-45/99, UTAP-353","astro-ph",,"  We present the first results of the Karhunen-Lo\`eve (KL) eigenmodes applied
to real data of the Las Campanas Redshift Survey (LCRS) to simultaneously
measure the values of the redshift-distortion parameter, $\beta =
\Omega_0^{0.6}/b$, the linearly extrapolated normalization, $\sigma_8^{\rm L}$,
and the CDM shape parameter, $\Gamma = \Omega_0 h$. The results of our
numerical likelihood analysis indicate a low value of $\beta = 0.30 \pm 0.39$,
a shape parameter $\Gamma = 0.16 \pm 0.10$, and a linearly extrapolated
normalization $\sigma_8^{\rm L} = 0.79 \pm 0.08$, which are consistent with a
low density universe, $\Omega_0 \simlt 0.5$.
","[{""version"":""v1"",""created"":""Tue, 9 Nov 1999 19:24:19 GMT""},{""version"":""v2"",""created"":""Wed, 5 Apr 2000 19:11:10 GMT""}]","2009-10-31"
"astro-ph/9911152","Pauline Barmby","P. Barmby, J.P. Huchra (1), J.P. Brodie (2), D.A. Forbes (3), L.L.
  Schroder (2) & C.J. Grillmair (4) ((1) CfA, (2) Lick/UCSC, (3) U. Birmingham,
  (4) (SIRTF Science Center))","M31 Globular Clusters: Colors and Metallicities","Accepted to AJ; 58 pages, including 10 tables and 22 figures. Tables
  1, 2, 4 and 5 have been truncated to save trees; tex for the full tables
  included in the source, contact the first Author to acquire the data
  contained within","Astron.J. 119 (2000) 727","10.1086/301213",,"astro-ph",,"  We present a new catalog of photometric and spectroscopic data on M31
globular clusters. The catalog includes new optical and near-infrared
photometry for a substantial fraction of the 435 clusters and cluster
candidates. We use these data to determine the reddening and intrinsic colors
of individual clusters, and find that the extinction laws in the Galaxy and M31
are not significantly different. There are significant (up to 0.2mag in V-K)
offsets between the clusters' intrinsic colors and simple stellar population
colors predicted by population synthesis models; we suggest that these are due
to systematic errors in the models. The distributions of M31 clusters'
metallicities and metallicity-sensitive colors are bimodal, with peaks at
[Fe/H] ~ -1.4 and -0.6. The distribution of V-I is often bimodal in elliptical
galaxies' globular cluster systems, but is not sensitive enough to metallicity
to show bimodality in M31 and Galactic cluster systems. The radial distribution
and kinematics of the two M31 metallicity groups imply that they are analogs of
the Galactic `halo' and `disk/bulge' cluster systems. The globular clusters in
M31 have a small radial metallicity gradient, suggesting that some dissipation
occurred during the GCS formation. The lack of correlation between cluster
luminosity and metallicity in M31 GCs shows that self-enrichment is not
important in GC formation.
","[{""version"":""v1"",""created"":""Tue, 9 Nov 1999 20:23:30 GMT""}]","2009-09-25"
"astro-ph/9911153","Miguel Angel Aloy Toras","Miguel-Angel Aloy, Jose-Luis Gomez, Jose-Maria Ibanez, Jose-Maria
  Marti and Ewald Mueller","Radio Emission from 3D Relativistic Hydrodynamic Jets: Observational
  Evidence of Jet Stratification","6 pages, 5 figures, 1 latex style file, ApJL accepted",,"10.1086/312436",,"astro-ph",,"  We present the first radio emission simulations from high resolution three
dimensional relativistic hydrodynamic jets, which allow for a study of the
observational implications of the interaction between the jet and external
medium. This interaction gives rise to a stratification of the jet where a fast
spine is surrounded by a slow high energy shear layer. The stratification, and
in particular the large specific internal energy and slow flow in the shear
layer largely determines the emission from the jet. If the magnetic field in
the shear layer becomes helical (e.g., resulting from an initial toroidal field
and an aligned field component generated by shear) the emission shows a cross
section asymmetry, in which either the top or the bottom of the jet dominates
the emission. This, as well as limb or spine brightening, is a function of the
viewing angle and flow velocity, and the top/bottom jet emission predominance
can be reversed if the jet changes direction with respect to the observer, or
presents a change in velocity. The asymmetry is more prominent in the polarized
flux, because of field cancellation (or amplification) along the line of sight.
Recent observations of jet cross section emission asymmetries in the blazar
1055+018 can be explained assuming the existence of a shear layer with a
helical magnetic field.
","[{""version"":""v1"",""created"":""Tue, 9 Nov 1999 20:49:02 GMT""}]","2009-10-31"
